tmj_scc_cstsrv,"Want to work at Lowe's Stores? We're #hiring in #Charleston, SC! Click for details: https://t.co/cpd2BtfATx #CustomerService #Job #Jobs"
ikamvc,if it ain't you it ain't you. tf you want me to do about it.
mikewaskom,If i wanted a Hummer i'd c ll your sister. #MakeAmericaGreatAgain #Airport https://t.co/P2IuHQ05FG
dinkod_todd,"RT @realDonaldTrump: ""@governor_savage: @realDonaldTrump is the only person who can save us from this corrupt political mess. #MakeAmericaG…"
thirdsuperpower,There is also no evidence that Paul Nehlen can beat Paul Ryan #NeverTrump https://t.co/GQZhhY3xa5
peggy3c,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
CATCHYOURMIRACL,"@trebortwo This is the GENTLEMAN who will protect us ,  and clean up neighborhoods,  put the integrity back in our government,  Vote TRUMP!"
Pamjd219,"RT @TheGOPReport: The whole GOP would have looked golden if they said ""Trump can help clean the mess in Washington"" from the beginning http…"
IridescentImage,Have you fed Your Unicorn Lately? We Have! @IridescentImage Happy National unicorn day! 4/9/2016! https://t.co/4qo3tG8Fks
Zaphenath_8,Stop Hillary #StopHillary 🚫👈 Fine By IRS. $700 2016. Repeal Obama Care #MakeAmericaGreatAgain #VoteTrump #Trump2016 https://t.co/yY19GTN2Ki
cockrillgus,"RT @Shoq: Yeah, that's sort of an ouchie. #FeetheBurn #ImWithHer #HillaryClinton #BernieSanders #feelthebern  https://t.co/ezpZuHNA4m"
ctmommy,"RT @HardcoreRep: So this happened. @cologop #cogop2016 ""They did it"" Now claiming they were hacked! Please, tell us more. #TrumpTrain https…"
PatFromm,"RT @CindiPargressiv: All the kings horses, and all the kings men...couldn't put the Democratic Party together again. 
 #BernieorBust https:…"
emerylittle3,Donald Trump #TrumpTrain 2016  Large White Custom Decal IntlShip #republican  #nra #tpp #2a #rnc #sgp https://t.co/3EL5wd1VKu
proteinwisdom,RT @Coondawg68: #TedCruz is a True Reformer on Immigration. #LyingTrump #TrumpTrain https://t.co/S7bnnkX2Iu
NaderFrankie,Donald Trump #TrumpTrain 2016 HUGE White Custom Decal #republican  #trump #ccot #tpp https://t.co/i6Cgs2Xdmd
MikefromFlorida,https://t.co/Q7JD1mjJDs
ringod01,"RT @sandyaschneider: WTF... Ted Cruz came in 3rd in South Carolina... But now he stole the delegates, meaning your vote does not count #Tru…"
DKOutdoorTV,RT @BikinInMaine: MT @jan_pierce: #CruzSuperCrew #ChooseCruz https://t.co/HwYewG9ovD #CruzCrew #PJNET
petedazoe,"The plan was to drink until the pain over
But what’s worse, the pain or the hangover? @ Inwood,… https://t.co/v21aKGbVSc"
charlieforcest,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
TheSpeedPnlta,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
Captain_Cronin,Dreading the thought of a 15k hike tomorrow morning
nail_heather,"You're a moonraker, you fool"
RedVinoPlease,"RT @lenadunham: She's smart. She's qualified. And yeah, we love her pantsuits. Go to https://t.co/22lNYOyRaE to tell us #ImWithHer https://…"
HighRawMama,RT @DJGreenwald: ⬇️ This is #YUGE! #CruzCrew #UniTED #TrusTED #Cruz2016 https://t.co/nM3Gc7hxkf
Carolyn82471448,"RT @deeluttrell1960: #NeverLyingCheatingTedCruz #StopTheSteal #SneakySnakeCruz #Cruz-Ineligible 
#Cruz-UnderPressure https://t.co/OX6cTeR7FA"
TravelNurseWork,"Can you recommend anyone for this #job? ICU/Step Down - https://t.co/9ltGR8MI6u #TravelNurse #Atlanta, GA #Nursing https://t.co/Ln6s5xETyU"
cxcvine,Girls fake asf 😂😂
macybell1,Happy Birthday beautiful!@yo_makbell 💘
axolROSE,RT @ChamoyChulo: #MakeAmericaGreatAgain #ImWithHer https://t.co/6vZdAokyE9
taylor_actually,When you're an hour late to work... https://t.co/ifrKRzi4b9
ikamvc,savagery on a whole different level.
4AmericaToday,"RT @amrightnow: Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain https://t.co/pDgGMeRmJU"
KiraoD5od,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
LindaGarriss,"RT @dawngpsalm63: I find it VERY disturbing how they portray
#Cruz as the "" Second coming of Christ""
Darkness surrounds him! 🇨🇦🐍👩🏼☎️😈 https…"
HowellEdwards,#Win a #WarrenHaynes Signature WSD5240 #Acoustic #Guitar from @AmericanMusical #RT #ReTweet #Sweeps #Giveaway #WinIt https://t.co/lT0iU9SZz4
brittainbeldne,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
4AmericaToday,"RT @amrightnow: ""The Real Trump ""Trump About You"" Make #1 https://t.co/j58e8aacrE  #MakeAmericaGreatAgain #Wisconsin https://t.co/TflB13PYht"
cherylm14077833,RT @honeybunchesof8: #Maga #RealDonaldTrump #TheOriginal #TrumpTrain #TrumpLandslide #USA1st #VoteTrump2016  https://t.co/GqhI4aXpI7
HereMeRoaring,#Woman4Trump up the volume!!  Sheer will and  https://t.co/PioHN4jUF4   https://t.co/JgNrgJdp7V
MSCJobs,"#Sales #Job in #JohnsonCity, TN: Account Executive at MSC Industrial https://t.co/lc6DXjxRWe #Veterans #Jobs #Hiring"
hunkaberninlove,"RT @Libertea2012: MT Prediction: #BernieSanders will be our 45th President Stats from top predictive primaries, KS &amp;;… #BernieStrong https:…"
selfharmensd,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
KHansen1724,RT @bannerite: George knows! #ImWithHer https://t.co/NTRkboe0qv
MightyGopher1,Un seal you and you moms records and prove your a American Patriot!  True Patriots dont seal/hide facts #LyinTed https://t.co/4qAvhzRGna
GodlessNZ,"RT @Jim_Barilla: Establishment, you've been fired. #FeelTheBern #ImWithHer https://t.co/7jHye9q8Qg"
pms5699,RT @crosswindlive: MT @bcwilliams92: If This Is Your List Then Ted Cruz Is your Guy. https://t.co/WWiZ53R6PV #CruzCrew #PJNET
archersoftball,Be carefulwhat you put on social media. #WeAreArcher #Family #BeSmart https://t.co/2WKrF9hdf8
jessray98,One week until I can buy my own cigarettes and lotto tickets
RightHandManSJ,"RT @bloodless_coup: #CruzCrew has the delegate wrangling operation Trump says he's capable of having but doesn't. The ""talker"" is ""doing"" w…"
MartyValentin,🙋🏻 Good morning. HAPPY SUNDAY! Jesus #heals our #brokenness 🙌🏼  🌺 @… https://t.co/QJfveTZQyR
TarotDarrow,"RT @WeNeedHillary: TOXIC: The Culture of Bernie's Campaign https://t.co/1P0qwWy4ON
#ShesWithUs #ImWithHer #TNTweeters #FleeTheBern https://…"
NJMike319,"RT @noprezzie2012: Totally incompetent leader =&gt; @realDonaldTrump 
@vivhall3 

He can't sway delegates...but he can world leaders.  Bwahaha…"
NicholasWellons,My heart goes out to the @Saints today.
jc196400,"RT @BeABarnabus: @KFaulders When @realDonaldTrump goes 3rd party, I'll support him. #FEDUP #LYINTED #TRUMP2016 #MAKEAMERICAGREATAGAIN! #FRA…"
Lindar52Rowe,"RT @Network_Citizen: MT @kvmidd85: A new day is dawning, America and new hope fills our hearts! https://t.co/yLYDX3HhyL #CruzCrew #PJNET"
Blackdi51264299,"RT @BikinInMaine: MT @ChuckNellis: Serious times require a serious candidate, #TedCruz. #SCPrimary https://t.co/VeL20CKOcA #CruzCrew #PJNET"
NoKill20kmLife,Why Does Hillary Fear Reporters Hearing her Fundraiser Speech &amp; Use White Noise Machine https://t.co/KrHLtCunQB #BernieSanders #BernieorBust
YoungUncleJsese,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
TeamTrumpNC,RT @TnHistoryGuru34: #BuildTheWall #Trump2016 #AlwaysTrump #MakeAmericaGreatAgain @ColorMeRed @YazminBlaze @greeneyes0084 @Bama_Yo @slone h…
DontWalkeronME,Laura Bush hints she'd rather see Hillary as president  | via @telegraphnews https://t.co/RRICdkNfCo Good for Laura!  #Imwithher #Hillary
LSmith51,Pols Declare the Bronx Hillary Clinton Territory https://t.co/pWpNOTeuiY  #ImWithHer @Hillary2016
_rijjjtieyf,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
HowellEdwards,#Win a Stringtones #Music #Guitar Accessory #Giveaway! #RT #ReTweet #Contest #Sweeps #Sweepstakes #Guitarist #WinIt https://t.co/3LcFg9Uxl2
808hopeful,RT @marilynjeanne21: Nice read. Thank you. Another reason why #ImWithHer  https://t.co/VzInFAk6r9
LindaGarriss,"RT @pnicastro1: @realDonaldTrump @PennyHicks13 @Carolde @kisster1 @FoxNews 
It all starts with getting to #1237 !
Make it so! #VoteTrump #N…"
PatFromm,RT @WorldForBernie: We can't sell our souls. That's why we'll never vote for @HillaryClinton! We stand with @BernieSanders #BernieOrBust ht…
